family_id,family,variation,alias,parents,children,description,parameters,upper_bound,lower_bound,domain
1.0,Sorting,Sorting,,,Comparison Sorting; Non-Comparison Sorting,A sorting algorithm is an algorithm that puts elements of a list in a certain order,$n$: size of list,,,Combinatorics
1.0,Sorting,Comparison Sorting,,Sorting,,A comparison algorithm determines relative ordering by comparing pairs of elements and swapping/reordering them if needed.,$n$: size of list,O(n*logn),Omega(n*logn),Combinatorics
1.0,Sorting,Non-Comparison Sorting,,Sorting,Integer Sorting,"A sorting algorithm is an algorithm that puts elements of a list in a certain order, not using comparisons between elements (so elements are typically integers or real numbers).",$n$: size of list,,,Combinatorics
1.0,Sorting,Integer Sorting,,Non-Comparison Sorting,,"A sorting algorithm is an algorithm that puts elements of a list in a certain order, not using comparisons between elements, elements are specifically integers.",$n$: size of list,,,Combinatorics
2.0,Kth Order Statistic,kth Order Statistic,,,,"An algorithm seeks to find the $k^{th}$ order statistic of a statistical sample, which is the $k^{th}$-smallest value in a list or array.",$n$: size of list,O(n),Omega(n),Combinatorics
3.0,Matrix Chain Multiplication,Matrix Chain Ordering Problem,MCOP,,Approximate MCOP,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an optimization problem. Given a sequence of matrices, the goal is to find the most efficient way to multiply these matrices.",$n$: number of matrices,$O(n \log n)$,Omega(n),Combinatorics
3.0,Matrix Chain Multiplication,Approximate MCOP,,Matrix Chain Ordering Problem,,"Matrix chain multiplication (or Matrix Chain Ordering Problem; MCOP) is an optimization problem. Given a sequence of matrices, the goal is to find the most efficient way to multiply these matrices. In the approximation problem, the matrix multiplication carried out with the output result will use a number of operations that has some sort of upper bound based on the optimal solution.",$n$: number of matrices,$O(\log \log n)$,,Combinatorics
3.0,Matrix Chain Multiplication,Matrix Chain Scheduling Problem,MCSP,,Approximate MCSP,The Matrix Chain Scheduling Problem (or MCSP) is an optimization problem_x000c_ where the goal is to find the product sequence for evaluating a chain of matrix products and the processor schedule for the sequence such that the evaluation time is minimized on a parallel system.,"$P$: number of processors
$n$: number of matrices",$O(\log^3 n)$,NP-hard,Combinatorics
3.0,Matrix Chain Multiplication,Approximate MCSP,,Matrix Chain Scheduling Problem,,"The Matrix Chain Scheduling Problem (or MCSP) is an optimization problem_x000c_ where the goal is to find the product sequence for evaluating a chain of matrix products and the processor schedule for the sequence such that the evaluation time is minimized on a parallel system. In the approximation problem, the matrix multiplication carried out with the output result will use a number of operations that has some sort of upper bound based on the optimal solution.","$P$: number of processors
$n$: number of matrices",$O(n^2)$,,Combinatorics
4.0,Longest Common Subsequence,Longest Common Subsequence,LCS,,Length of Longest Common Subsequence; Sequential Substring Constrained Longest Common Subsequence;  Multiple Longest Common Subsequence; All-substrings LCS; Longest Common Substring with don't cares,The longest common subsequence (LCS) problem is the problem of finding the longest subsequence common to all sequences in a set of sequences (often just two sequences).,"$n$: length of the longer input string
$m$: length of the shorter input string
$r$: length of the LCS
$s$: size of the alphabet
$p$: the number of dominant matches (AKA number of minimal candidates), i.e. the total number of ordered pairs of positions at which the two sequences match",,Omega(n^2),Combinatorics
4.0,Longest Common Subsequence,Length of Longest Common Subsequence,LLCS,Longest Common Subsequence,,find only the length of the LCS,,,,
4.0,Longest Common Subsequence,Sequential Substring Constrained Longest Common Subsequence,SSCLCS,Longest Common Subsequence,,,,,,
4.0,Longest Common Subsequence,Multiple Longest Common Subsequence,MLCS,Longest Common Subsequence,,LCS of multiple strings,,,,
4.0,Longest Common Subsequence,All-substrings LCS,ALCS,Longest Common Subsequence,,"aka string-substring LCS (SS-LCS)
computes the legths of the LCSs of string a with all the substrings of string b",,,,
