family,variation,algorithm,year,time_class,time_expr,time_encoding,space_class,space_expr,looked_at,approximate,heuristic,randomized,model,authors,title,paper_url,doi,description,remarks
Linear System,Sparse Quantum Linear System,Harrow (Quantum),2009,2.0,$O(k^2*\log n)$,,2.0,O(\log n),2.0,0.0,0.0,0.0,Quantum Computer,"['Aram W. Harrow', 'Avinatan Hassidim', 'Seth Lloyd']",['Quantum Algorithm for Linear Systems of Equations'],https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.103.150502,10.1103/PhysRevLett.103.150502,Quantum algorithm,
Linear System,Sparse Quantum Linear System,,2017,2.0,"O(poly(log(n), log(1/eps), d, 1/k))",,,,2.0,0.0,,,Quantum Computer,"['Childs', 'Kothari', 'Somma']",['Quantum Algorithm for Systems of Linear Equations with Exponentially Improved Dependence on Precision'],https://epubs.siam.org/doi/epdf/10.1137/16M1087072,,Quantum algorithm,
Linear System,Sparse Quantum Linear System,,2019,4.0,O(k log(k) / eps),,3.0,O(kn * poly(\log(1/eps)) * (1 / eps)),2.0,1.0,,0.0,Quantum Computer,"['Subaşı', 'Somma', 'Orsucci']",Quantum Algorithms for Systems of Linear Equations Inspired by Adiabatic Quantum Computing,https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.122.060504,10.1103/PhysRevLett.122.060504,Quantum algorithm,
Linear System,Sparse Quantum Linear System,Ambainis,2010,2.0,O(k log(k)^3 log(n)),,,,2.0,1.0,,,Quantum computer,['Ambainis'],['Variable time amplitude amplification and a faster quantum algorithm for solving systems of linear equations'],https://arxiv.org/pdf/1010.4458.pdf,10.48550/arXiv.1010.4458,Quantum algorithm,
Linear System,Bounded Norm Quantum Linear System,"Wossnig, Zhao, Prakash",2018,2.6,O(k^2 sqrt(n) poly(log(n)) / eps),,2.0,O(w \log(n)),2.0,1.0,0.0,,Quantum computer,"['Wossnig', 'Zhao', 'Prakash']",['Quantum Linear System Algorithm for Dense Matrices'],https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.120.050502,10.1103/PhysRevLett.120.050502,Quantum algorithm,
Linear System,Toeplitz Quantum Linear System,"Wan, Yu, Pan, Gao, Wen, Qin",2018,2.1,,,,O(w \log(n)),1.0,,,,,"['Wan', 'Yu', 'Pan', 'Gao', 'Wen', 'Qin']",['Asymptotic quantum algorithm for the Toeplitz systems'],https://journals.aps.org/pra/pdf/10.1103/PhysRevA.97.062322,10.1103/PhysRevA.97.062322,Quantum algorithm,
Linear System,Sparsity-independent Quantum Linear Solver,"Li, Zhang, Liu, Liu, Dai",2022,2.6,O(poly(log(mn)) * k^2 * \sqrt(r) / \epsilon)),,,,1.0,,,,,"['Li', 'Zhang', 'Liu', 'Liu', 'Dai', 'Zhang', 'Dong']",['Quantum Linear System Algorithm for General Matrices in System Identification'],https://www.mdpi.com/1099-4300/24/7/893,10.3390/e24070893,Quantum algorithm,
Integer Factoring,Integer Factoring,Shor's Algorithm,1994,5.2,"O(poly(n))
more specifically: O(n^2 log n)",,3.0,O(m),1.0,,,,Quantum Computer,['Shor'],"['Polynomial-Time Algorithms for Prime Factorization
and Discrete Logarithms on a Quantum Computer']",https://arxiv.org/pdf/quant-ph/9508027.pdf,10.1137/S009753979529317,Quantum algorithm,
Integer Factoring,Integer Factoring,SQIF,2022,5.0,O(n^2/2p),,3.0,O(logN / loglogN),1.0,,,,Superconducting Quantum Processor,"Bao Yan,1, 2, ∗ Ziqi Tan,3, ∗ Shijie Wei,4, ∗ Haocong Jiang,5 Weilong Wang,1 Hong Wang,1 Lan Luo,1 Qianheng Duan,1 Yiting Liu,1 Wenhao Shi,1 Yangyang Fei,1 Xiangdong Meng,1 Yu Han,1 Zheng Shan,1 Jiachen Chen,3 Xuhao Zhu,3 Chuanyu Zhang,3 Feitong Jin,3 Hekang Li,3 Chao Song,3 Zhen Wang,3, † Zhi Ma,1, ‡ H. Wang,3 and Gui-Lu Long2, 4, 6, 7, §",['Factoring integers with sublinear resources on a superconducting quantum processor'],https://arxiv.org/pdf/2212.12372,,Quantum algorithm,"Based on QAOA/quantum estimation techniques, for which complexity bounds are not tight"
Integer Factoring,Integer Factoring,Regev's Algorithm,2023,5.0,O(n^2),,4.2,O(n^1.5),1.0,,,,Quantum Computer,['O. Regev'],['An Efficient Quantum Factoring Algorithm'],https://arxiv.org/pdf/2308.06572,10.48550/arXiv.2308.06572,Quantum algorithm,"each circuit has O(n^1.5) gates, repeated sqrt(n) times
Classical post-processing using lattice reduction algorithms"
